Image,Original Name,Word Count Range,Sentence Number,Image Sequence,Font Size,Font Style,Blur Level,Background Color,Gold Label,Response
46,40-60_15_01_base_12_Jameel Noori Nastaleeq.jpg,40-60,15,1,12,Jameel Noori Nastaleeq,0,0,مصر کی فوج کا ہیلی کاپٹر حادثے کا شکار ہوگیا، جس کے باعث 2 پائلٹ جاں بحق ہوگئے۔ قاہرہ سے مصری فوج کے بیان کے مطابق ہیلی کاپٹر تربیتی پرواز کے دوران شلوفہ کے علاقے میں گر کر تباہ ہوا۔ بیان میں مزید کہا گیا ہے کہ حادثے کی وجوہات جاننے کےلیے تحقیقاتی کمیٹی تشکیل دے دی گئی ہے۔,مصر کی فوج کا ہیلی کاپٹر حادثے کا شکار ہوگیا، جس کے باعث 2 پائلٹ جان بحق ہوگئے۔ قاہرہ سے مصری فوج کے بیان کے مطابق ہیلی کاپٹر تربیتی پرواز کے دوران مشرقی شلوفہ کے علاقے میں گر کر تباہ ہوا۔ بیان میں مزید کہا گیا ہے کہ حادثے کی وجوہات جاننے کے لیے تحقیقاتی ٹیم تشکیل دے دی گئی ہے۔
47,40-60_15_02_base_18_Jameel Noori Nastaleeq.jpg,40-60,15,2,18,Jameel Noori Nastaleeq,0,0,مصر کی فوج کا ہیلی کاپٹر حادثے کا شکار ہوگیا، جس کے باعث 2 پائلٹ جاں بحق ہوگئے۔ قاہرہ سے مصری فوج کے بیان کے مطابق ہیلی کاپٹر تربیتی پرواز کے دوران شلوفہ کے علاقے میں گر کر تباہ ہوا۔ بیان میں مزید کہا گیا ہے کہ حادثے کی وجوہات جاننے کےلیے تحقیقاتی کمیٹی تشکیل دے دی گئی ہے۔,مصر کی فوج کا ہیلی کاپٹر حادثے کا شکار ہوگیا، جس کے باعث 2 پائلٹ جان بحق ہوگئے۔ قاہرہ سے مصری فوج کے بیان کے مطابق ہیلی کاپٹر تربیتی پرواز کے دوران مشلوفہ کے علاقے میں گر کر تباہ ہوا۔ بیان میں مزید کہا گیا ہے کہ حادثے کی وجوہات جاننے کے لیے تحقیقاتی کمیٹی تشکیل دے دی گئی ہے۔
48,40-60_15_02_base_18_Jameel Noori Nastaleeq_bg-light_yellow.jpg,40-60,15,2,18,Jameel Noori Nastaleeq,0,light_yellow,مصر کی فوج کا ہیلی کاپٹر حادثے کا شکار ہوگیا، جس کے باعث 2 پائلٹ جاں بحق ہوگئے۔ قاہرہ سے مصری فوج کے بیان کے مطابق ہیلی کاپٹر تربیتی پرواز کے دوران شلوفہ کے علاقے میں گر کر تباہ ہوا۔ بیان میں مزید کہا گیا ہے کہ حادثے کی وجوہات جاننے کےلیے تحقیقاتی کمیٹی تشکیل دے دی گئی ہے۔,مصر کی فوج کا ہیلی کاپٹر حادثے کا شکار ہوگیا، جس کے باعث 2 پائلٹ جان بحق ہوگئے۔ قاہرہ سے مصری فوج کے بیان کے مطابق ہیلی کاپٹر تربیتی پرواز کے دوران تشلونہ کے علاقے میں گر کر تباہ ہوا۔ بیان میں مزید کہا گیا ہے کہ حادثے کی وجوہات جاننے کے لیے تحقیقاتی کمیٹی تشکیل دے دی گئی ہے۔
49,40-60_15_02_base_18_Jameel Noori Nastaleeq_bg-slate_gray.jpg,40-60,15,2,18,Jameel Noori Nastaleeq,0,slate_gray,مصر کی فوج کا ہیلی کاپٹر حادثے کا شکار ہوگیا، جس کے باعث 2 پائلٹ جاں بحق ہوگئے۔ قاہرہ سے مصری فوج کے بیان کے مطابق ہیلی کاپٹر تربیتی پرواز کے دوران شلوفہ کے علاقے میں گر کر تباہ ہوا۔ بیان میں مزید کہا گیا ہے کہ حادثے کی وجوہات جاننے کےلیے تحقیقاتی کمیٹی تشکیل دے دی گئی ہے۔,مصری فوج کا ہیلی کاپٹر حادثے کا شکار ہو گیا، جس کے باعث 2 پائلٹ جاں بحق ہو گئے۔ قاہرہ سے مصری فوج کے بیان کے مطابق تیل کی تلاش کے دوران مشرقی علاقے میں گرتے ہوئے ہیلی کاپٹر کا بیان میں کہا گیا ہے کہ حادثے کی وجوہات جاننے کے لیے تحقیقاتی کمیٹی تشکیل دے دی گئی ہے۔
50,40-60_15_02_base_18_Jameel Noori Nastaleeq_blur-1.25.jpg,40-60,15,2,18,Jameel Noori Nastaleeq,1.25,0,مصر کی فوج کا ہیلی کاپٹر حادثے کا شکار ہوگیا، جس کے باعث 2 پائلٹ جاں بحق ہوگئے۔ قاہرہ سے مصری فوج کے بیان کے مطابق ہیلی کاپٹر تربیتی پرواز کے دوران شلوفہ کے علاقے میں گر کر تباہ ہوا۔ بیان میں مزید کہا گیا ہے کہ حادثے کی وجوہات جاننے کےلیے تحقیقاتی کمیٹی تشکیل دے دی گئی ہے۔,مصری فوج کا ہیلی کاپٹر حادثے کا شکار ہوگیا، جس کے باعث 2 پائلٹ جان بحق ہوگئے۔ قاہرہ سے مصری فوج کے بیان کے مطابق ہیلی کاپٹر تربیتی پرواز کے دوران شلوفہ کے علاقے میں گر کر تباہ ہوا۔ بیان میں مزید کہا گیا ہے کہ حادثے کی وجوہات جاننے کے لیے تحقیقاتی کمیٹی تشکیل دے دی گئی ہے۔
51,40-60_15_02_base_18_Jameel Noori Nastaleeq_blur-1.75.jpg,40-60,15,2,18,Jameel Noori Nastaleeq,1.75,0,مصر کی فوج کا ہیلی کاپٹر حادثے کا شکار ہوگیا، جس کے باعث 2 پائلٹ جاں بحق ہوگئے۔ قاہرہ سے مصری فوج کے بیان کے مطابق ہیلی کاپٹر تربیتی پرواز کے دوران شلوفہ کے علاقے میں گر کر تباہ ہوا۔ بیان میں مزید کہا گیا ہے کہ حادثے کی وجوہات جاننے کےلیے تحقیقاتی کمیٹی تشکیل دے دی گئی ہے۔,مصری فوج کا ہیلی کاپٹر حادثے کا شکار ہوگیا، جس کے باعث 2 پائلٹ جاں بحق ہوگئے۔ قاہرہ سے مصری فوج کے بیان کے مطابق ہیلی کاپٹر تربیتی پرواز کے دوران مشلوفہ کے علاقے میں گر کر تباہ ہوا۔ بیان میں مزید کہا گیا ہے کہ حادثے کی وجوہات جاننے کے لیے تحقیقاتی کمیٹی تشکیل دے دی گئی ہے۔
52,40-60_15_03_base_24_Jameel Noori Nastaleeq.jpg,40-60,15,3,24,Jameel Noori Nastaleeq,0,0,مصر کی فوج کا ہیلی کاپٹر حادثے کا شکار ہوگیا، جس کے باعث 2 پائلٹ جاں بحق ہوگئے۔ قاہرہ سے مصری فوج کے بیان کے مطابق ہیلی کاپٹر تربیتی پرواز کے دوران شلوفہ کے علاقے میں گر کر تباہ ہوا۔ بیان میں مزید کہا گیا ہے کہ حادثے کی وجوہات جاننے کےلیے تحقیقاتی کمیٹی تشکیل دے دی گئی ہے۔,مصری فوج کا ہیلی کاپٹر حادثے کا شکار ہو گیا، جس کے باعث 2 پائلٹ جان بحق ہو گئے۔ قاہرہ سے مصری فوج کے بیان کے مطابق ہیلی کاپٹر تربیتی پرواز کے دوران شلوفہ کے علاقے میں گر کر تباہ ہوا۔ بیان میں مزید کہا گیا ہے کہ حادثے کی وجوہات جاننے کے لیے تحقیقاتی کمیٹی تشکیل دے دی گئی ہے۔
53,40-60_15_04_base_18_Alvi Nastaleeq.jpg,40-60,15,4,18,Alvi Nastaleeq,0,0,مصر کی فوج کا ہیلی کاپٹر حادثے کا شکار ہوگیا، جس کے باعث 2 پائلٹ جاں بحق ہوگئے۔ قاہرہ سے مصری فوج کے بیان کے مطابق ہیلی کاپٹر تربیتی پرواز کے دوران شلوفہ کے علاقے میں گر کر تباہ ہوا۔ بیان میں مزید کہا گیا ہے کہ حادثے کی وجوہات جاننے کےلیے تحقیقاتی کمیٹی تشکیل دے دی گئی ہے۔,مصر کی فوج کا ہیلی کاپٹر حادثے کا شکار ہوگیا۔ جس کے باعث 2 پائلٹ جان بحق ہوگئے۔ قاہرہ سے مصری فوج کے بیان کے مطابق ہیلی کاپٹر تربیتی پرواز کے دوران مشقوفہ کے علاقے میں گر کر تباہ ہوا۔ بیان میں مزید کہا گیا ہے کہ حادثے کی وجوہات جاننے کے لیے تحقیقاتی کمیٹی تشکیل دے دی گئی ہے۔
54,40-60_15_05_base_18_Nafees Nastaleeq.jpg,40-60,15,5,18,Nafees Nastaleeq,0,0,مصر کی فوج کا ہیلی کاپٹر حادثے کا شکار ہوگیا، جس کے باعث 2 پائلٹ جاں بحق ہوگئے۔ قاہرہ سے مصری فوج کے بیان کے مطابق ہیلی کاپٹر تربیتی پرواز کے دوران شلوفہ کے علاقے میں گر کر تباہ ہوا۔ بیان میں مزید کہا گیا ہے کہ حادثے کی وجوہات جاننے کےلیے تحقیقاتی کمیٹی تشکیل دے دی گئی ہے۔,مصری فوج کا ہیلی کاپٹر حادثے کا شکار ہوگیا، جس کے باعث 2 پائلٹ جان بحق ہوگئے۔ قاہرہ سے مصری فوج کے بیان کے مطابق ہیلی کاپٹر تربیتی پرواز کے دوران شیفنو کے علاقے میں گر کر تباہ ہوا۔ بیان میں مزید کہا گیا ہے کہ حادثے کی وجوہات جاننے کے لیے تحقیقاتی کمیٹی تشکیل دے دی گئی ہے۔
55,40-60_16_01_base_12_Jameel Noori Nastaleeq.jpg,40-60,16,1,12,Jameel Noori Nastaleeq,0,0,برطانوی وزارت داخلہ نے تارکین وطن کے خلاف گھیرا تنگ کرنے کا فیصلہ کرلیا۔ پاسپورٹ پھینک کر ملک بدری سے بچنے کی کوشش کرنے والوں کے خلاف کارروائی ہوگی۔ برطانوی وزیر داخلہ کا کہنا ہے کہ حکومت پناہ کی درخواستوں کے لیے ’’فاسٹ ٹریک‘‘  نظام بنانے کی کوشش کررہی ہے۔,"برطانوی وزارت داخلہ نے تارکین وطن کے خلاف سخت گیر اقدامات کرنے کا فیصلہ کر لیا۔ پاسپورٹ چھین کر ملک بدری سے بچنے کی کوشش کرنے والوں کے خلاف کارروائی ہوگی۔ برطانوی وزیر داخلہ کا کہنا ہے کہ حکومت پناہ کی درخواستوں کے لیے ""فاسٹ ٹریک"" نظام بنانے کی کوشش کر رہی ہے۔"
56,40-60_16_02_base_18_Jameel Noori Nastaleeq.jpg,40-60,16,2,18,Jameel Noori Nastaleeq,0,0,برطانوی وزارت داخلہ نے تارکین وطن کے خلاف گھیرا تنگ کرنے کا فیصلہ کرلیا۔ پاسپورٹ پھینک کر ملک بدری سے بچنے کی کوشش کرنے والوں کے خلاف کارروائی ہوگی۔ برطانوی وزیر داخلہ کا کہنا ہے کہ حکومت پناہ کی درخواستوں کے لیے ’’فاسٹ ٹریک‘‘  نظام بنانے کی کوشش کررہی ہے۔,"برطانوی وزارت داخلہ نے تارکین وطن کے خلاف گھیراتنگ کرنے کا فیصلہ کرلیا۔ پاسپورٹ پھینک کر ملک بدری سے بچنے کی کوشش کرنے والوں کے خلاف کارروائی ہوگی۔ برطانوی وزیر داخلہ کا کہنا ہے کہ حکومت پناہ کی درخواستوں کے لیے ""فاسٹ ٹریک"" نظام بنانے کی کوشش کر رہی ہے۔"
57,40-60_16_02_base_18_Jameel Noori Nastaleeq_bg-light_yellow.jpg,40-60,16,2,18,Jameel Noori Nastaleeq,0,light_yellow,برطانوی وزارت داخلہ نے تارکین وطن کے خلاف گھیرا تنگ کرنے کا فیصلہ کرلیا۔ پاسپورٹ پھینک کر ملک بدری سے بچنے کی کوشش کرنے والوں کے خلاف کارروائی ہوگی۔ برطانوی وزیر داخلہ کا کہنا ہے کہ حکومت پناہ کی درخواستوں کے لیے ’’فاسٹ ٹریک‘‘  نظام بنانے کی کوشش کررہی ہے۔,"برطانوی وزارت داخلہ نے تارکین وطن کے خلاف گھیراتنگ کرنے کا فیصلہ کرلیا۔ پاسپورٹ چھینک کر ملک بدری سے بچنے کی کوشش کرنے والوں کے خلاف کارروائی ہوگی۔ برطانوی وزیر داخلہ کا کہنا ہے کہ حکومت پناہ کی درخواستوں کے لیے ""فاسٹ ٹریک"" نظام بنانے کی کوشش کررہی ہے۔"
58,40-60_16_02_base_18_Jameel Noori Nastaleeq_bg-slate_gray.jpg,40-60,16,2,18,Jameel Noori Nastaleeq,0,slate_gray,برطانوی وزارت داخلہ نے تارکین وطن کے خلاف گھیرا تنگ کرنے کا فیصلہ کرلیا۔ پاسپورٹ پھینک کر ملک بدری سے بچنے کی کوشش کرنے والوں کے خلاف کارروائی ہوگی۔ برطانوی وزیر داخلہ کا کہنا ہے کہ حکومت پناہ کی درخواستوں کے لیے ’’فاسٹ ٹریک‘‘  نظام بنانے کی کوشش کررہی ہے۔,"برطانوی وزارت داخلہ نے تارکین وطن کے خلاف غیر اخلاقی ہتھکنڈے اختیار کرنے کا فیصلہ کرلیا۔ برطانیہ بھر میں سے جیتنے کی کوشش کرنے والوں کے خلاف کارروائی ہوگی۔ برطانوی وزیر داخلہ کا کہنا ہے کہ حکومت پناہ کی درخواستوں کے لیے ""قاسمٹ پیک"" نظام بنانے کی کوشش کر رہی ہے۔"
59,40-60_16_02_base_18_Jameel Noori Nastaleeq_blur-1.25.jpg,40-60,16,2,18,Jameel Noori Nastaleeq,1.25,0,برطانوی وزارت داخلہ نے تارکین وطن کے خلاف گھیرا تنگ کرنے کا فیصلہ کرلیا۔ پاسپورٹ پھینک کر ملک بدری سے بچنے کی کوشش کرنے والوں کے خلاف کارروائی ہوگی۔ برطانوی وزیر داخلہ کا کہنا ہے کہ حکومت پناہ کی درخواستوں کے لیے ’’فاسٹ ٹریک‘‘  نظام بنانے کی کوشش کررہی ہے۔,"برطانوی وزارت داخلہ نے تارکین وطن کے خلاف غیر اخلاقی کرنے کا فیصلہ کرلیا۔ پاسپورٹ چھینک کر ملک بدری سے بچنے کی کوشش کرنے والوں کے خلاف کارروائی ہوگی۔ برطانوی وزیر داخلہ کا کہنا ہے کہ حکومت پناہ کی درخواستوں کے لیے ""فاسٹ ٹریک"" نظام بنانے کی کوشش کر رہی ہے۔"
60,40-60_16_02_base_18_Jameel Noori Nastaleeq_blur-1.75.jpg,40-60,16,2,18,Jameel Noori Nastaleeq,1.75,0,برطانوی وزارت داخلہ نے تارکین وطن کے خلاف گھیرا تنگ کرنے کا فیصلہ کرلیا۔ پاسپورٹ پھینک کر ملک بدری سے بچنے کی کوشش کرنے والوں کے خلاف کارروائی ہوگی۔ برطانوی وزیر داخلہ کا کہنا ہے کہ حکومت پناہ کی درخواستوں کے لیے ’’فاسٹ ٹریک‘‘  نظام بنانے کی کوشش کررہی ہے۔,"برطانوی وزارت داخلہ نے ہر سکن وطن کے خلاف غیر اخلاقی حرکت کرنے والوں کے خلاف کارروائی ہو گی۔ برطانوی وزیر داخلہ کا کہنا ہے کہ حکومت پناہی و درخواستوں کے لیے ""قانون طریق"" نظام بنانے کی کوشش کر رہی ہے۔"
61,40-60_16_03_base_24_Jameel Noori Nastaleeq.jpg,40-60,16,3,24,Jameel Noori Nastaleeq,0,0,برطانوی وزارت داخلہ نے تارکین وطن کے خلاف گھیرا تنگ کرنے کا فیصلہ کرلیا۔ پاسپورٹ پھینک کر ملک بدری سے بچنے کی کوشش کرنے والوں کے خلاف کارروائی ہوگی۔ برطانوی وزیر داخلہ کا کہنا ہے کہ حکومت پناہ کی درخواستوں کے لیے ’’فاسٹ ٹریک‘‘  نظام بنانے کی کوشش کررہی ہے۔,"برطانوی وزارت داخلہ نے تارکین وطن کے خلاف گھیرا تنگ کرنے کا فیصلہ کر لیا، پاسپورٹ پھینک کر ملک بدری سے بچنے کی کوشش کرنے والوں کے خلاف کارروائی ہو گی۔ برطانوی وزیر داخلہ کا کہنا ہے کہ حکومت پناہ کی درخواستوں کے لیے ""فاسٹ ٹریک"" نظام بنانے کی کوشش کر رہی ہے۔"
62,40-60_16_04_base_18_Alvi Nastaleeq.jpg,40-60,16,4,18,Alvi Nastaleeq,0,0,برطانوی وزارت داخلہ نے تارکین وطن کے خلاف گھیرا تنگ کرنے کا فیصلہ کرلیا۔ پاسپورٹ پھینک کر ملک بدری سے بچنے کی کوشش کرنے والوں کے خلاف کارروائی ہوگی۔ برطانوی وزیر داخلہ کا کہنا ہے کہ حکومت پناہ کی درخواستوں کے لیے ’’فاسٹ ٹریک‘‘  نظام بنانے کی کوشش کررہی ہے۔,"برطانوی وزارت داخلہ نے تارکین وطن کے خلاف گھیراتنگ کرنے کا فیصلہ کرلیا، پاسپورٹ پھینک کر ملک بدری سے بچنے کی کوشش کرنے والوں کے خلاف کارروائی ہوگی۔ برطانوی وزیر داخلہ کا کہنا ہے کہ حکومت پناہ کی درخواستوں کے لیے ""فاسٹ ٹریک"" نظام بنانے کی کوشش کر رہی ہے۔"
63,40-60_16_05_base_18_Nafees Nastaleeq.jpg,40-60,16,5,18,Nafees Nastaleeq,0,0,برطانوی وزارت داخلہ نے تارکین وطن کے خلاف گھیرا تنگ کرنے کا فیصلہ کرلیا۔ پاسپورٹ پھینک کر ملک بدری سے بچنے کی کوشش کرنے والوں کے خلاف کارروائی ہوگی۔ برطانوی وزیر داخلہ کا کہنا ہے کہ حکومت پناہ کی درخواستوں کے لیے ’’فاسٹ ٹریک‘‘  نظام بنانے کی کوشش کررہی ہے۔,برطانوی وزارت داخلہ نے تارکین وطن کے خلاف گھیرا تنگ کرنے کا فیصلہ کر لیا۔ پاسپورٹ پھینک کر ملک بدری سے بچنے کی کوشش کرنے والوں کے خلاف کارروائی ہوگی۔ برطانوی وزیر داخلہ کا کہنا ہے کہ حکومت پناہ کی درخواستوں کے لیے ’’فاسٹ ٹریک‘‘ نظام بنانے کی کوشش کر رہی ہے۔
64,40-60_17_01_base_12_Jameel Noori Nastaleeq.jpg,40-60,17,1,12,Jameel Noori Nastaleeq,0,0,امریکا اور سعودی عرب کا ممکنہ سیکیورٹی معاہدے پر تبادلہ خیال ہوا۔ امریکی میڈیا کے مطابق ممکنہ سیکیورٹی معاہدے میں اسرائیل شامل نہیں ہوگا۔ امریکا سعودی عرب ممکنہ سیکیورٹی معاہدہ دفاعی معاہدہ نہیں۔ بائیڈن کے دور میں ہی سعودی عرب اور امریکا سیکیورٹی معاہدہ چاہتے ہیں۔,امریکا اور سعودی عرب کا ممکنہ سیکیورٹی معاہدہ اسرائیل کے معاہدے میں شامل نہیں ہوگا۔ امریکی میڈیا کے مطابق ممکنہ سیکیورٹی معاہدہ میں اسرائیل شامل نہیں ہوگا۔ امریکا سعودی عرب اور امریکا سیکیورٹی معاہدہ چاہتے ہیں۔
65,40-60_17_02_base_18_Jameel Noori Nastaleeq.jpg,40-60,17,2,18,Jameel Noori Nastaleeq,0,0,امریکا اور سعودی عرب کا ممکنہ سیکیورٹی معاہدے پر تبادلہ خیال ہوا۔ امریکی میڈیا کے مطابق ممکنہ سیکیورٹی معاہدے میں اسرائیل شامل نہیں ہوگا۔ امریکا سعودی عرب ممکنہ سیکیورٹی معاہدہ دفاعی معاہدہ نہیں۔ بائیڈن کے دور میں ہی سعودی عرب اور امریکا سیکیورٹی معاہدہ چاہتے ہیں۔,امریکا اور سعودی عرب کا ممکنہ سیکیورٹی معاہدہ پر تبادلہ خیال ہوا۔ امریکی میڈیا کے مطابق ممکنہ سیکیورٹی معاہدے میں اسرائیل شامل نہیں ہوگا۔ امریکا سعودی عرب ممکنہ سیکیورٹی معاہدہ دفاعی معاہدہ نہیں۔ بائیڈن کے دور میں ہی سعودی عرب امریکا سیکیورٹی معاہدہ چاہتے ہیں۔
66,40-60_17_02_base_18_Jameel Noori Nastaleeq_bg-light_yellow.jpg,40-60,17,2,18,Jameel Noori Nastaleeq,0,light_yellow,امریکا اور سعودی عرب کا ممکنہ سیکیورٹی معاہدے پر تبادلہ خیال ہوا۔ امریکی میڈیا کے مطابق ممکنہ سیکیورٹی معاہدے میں اسرائیل شامل نہیں ہوگا۔ امریکا سعودی عرب ممکنہ سیکیورٹی معاہدہ دفاعی معاہدہ نہیں۔ بائیڈن کے دور میں ہی سعودی عرب اور امریکا سیکیورٹی معاہدہ چاہتے ہیں۔,امریکا اور سعودی عرب کا ممکنہ سیکیورٹی معاہدہ ہے پر تبادلہ خیال ہوا۔ امریکی میڈیا کے مطابق ممکنہ سیکیورٹی معاہدے میں اسرائیل شامل نہیں ہوگا۔ امریکا سعودی عرب ممکنہ سیکیورٹی معاہدہ دفاعی معاہدہ نہیں۔ بائیڈن کے دور میں ہی سعودی عرب امریکا سیکیورٹی معاہدہ کرنا چاہتے ہیں۔
67,40-60_17_02_base_18_Jameel Noori Nastaleeq_bg-slate_gray.jpg,40-60,17,2,18,Jameel Noori Nastaleeq,0,slate_gray,امریکا اور سعودی عرب کا ممکنہ سیکیورٹی معاہدے پر تبادلہ خیال ہوا۔ امریکی میڈیا کے مطابق ممکنہ سیکیورٹی معاہدے میں اسرائیل شامل نہیں ہوگا۔ امریکا سعودی عرب ممکنہ سیکیورٹی معاہدہ دفاعی معاہدہ نہیں۔ بائیڈن کے دور میں ہی سعودی عرب اور امریکا سیکیورٹی معاہدہ چاہتے ہیں۔,امریکا اور سعودی عرب کا ممکنہ سیکیورٹی معاہدہ پر تبادلہ خیال ہوا۔ امریکی میڈیا کے مطابق ممکنہ سیکیورٹی معاہدے میں اسرائیل شامل نہیں ہوگا۔ معاہدہ دفاعی معاہدہ نہیں۔ بائیڈن کے دور میں ہی معاہدہ سعودی عرب چاہتے ہیں۔
68,40-60_17_02_base_18_Jameel Noori Nastaleeq_blur-1.25.jpg,40-60,17,2,18,Jameel Noori Nastaleeq,1.25,0,امریکا اور سعودی عرب کا ممکنہ سیکیورٹی معاہدے پر تبادلہ خیال ہوا۔ امریکی میڈیا کے مطابق ممکنہ سیکیورٹی معاہدے میں اسرائیل شامل نہیں ہوگا۔ امریکا سعودی عرب ممکنہ سیکیورٹی معاہدہ دفاعی معاہدہ نہیں۔ بائیڈن کے دور میں ہی سعودی عرب اور امریکا سیکیورٹی معاہدہ چاہتے ہیں۔,امریکا اور سعودی عرب کا ممکنہ سیکیورٹی معاہدہ پر تبادلہ خیال ہوا۔ خیال کیا کے مطابق ممکنہ سیکیورٹی معاہدے میں اسرائیل شامل نہیں ہوگا۔ امریکا سعودی عرب ممکنہ سیکیورٹی معاہدہ دو دفاعی معاہدہ نہیں۔ بائیڈن کے دور میں نئی سعودی عرب اور امریکا سیکیورٹی معاہدہ چاہتے ہیں۔
69,40-60_17_02_base_18_Jameel Noori Nastaleeq_blur-1.75.jpg,40-60,17,2,18,Jameel Noori Nastaleeq,1.75,0,امریکا اور سعودی عرب کا ممکنہ سیکیورٹی معاہدے پر تبادلہ خیال ہوا۔ امریکی میڈیا کے مطابق ممکنہ سیکیورٹی معاہدے میں اسرائیل شامل نہیں ہوگا۔ امریکا سعودی عرب ممکنہ سیکیورٹی معاہدہ دفاعی معاہدہ نہیں۔ بائیڈن کے دور میں ہی سعودی عرب اور امریکا سیکیورٹی معاہدہ چاہتے ہیں۔,امریکا اور سعودی عرب کا ممکنہ سیکیورٹی معاہدہ پر تبادلہ خیال ہوا۔ امریکی میڈیا کے مطابق ممکنہ سیکیورٹی معاہدہ میں اسرائیل شامل نہیں ہوگا۔ امریکا سعودی عرب ممکنہ سیکیورٹی معاہدہ کے دور میں نئی دفاعی معاہدہ چاہتا ہے۔
70,40-60_17_03_base_24_Jameel Noori Nastaleeq.jpg,40-60,17,3,24,Jameel Noori Nastaleeq,0,0,امریکا اور سعودی عرب کا ممکنہ سیکیورٹی معاہدے پر تبادلہ خیال ہوا۔ امریکی میڈیا کے مطابق ممکنہ سیکیورٹی معاہدے میں اسرائیل شامل نہیں ہوگا۔ امریکا سعودی عرب ممکنہ سیکیورٹی معاہدہ دفاعی معاہدہ نہیں۔ بائیڈن کے دور میں ہی سعودی عرب اور امریکا سیکیورٹی معاہدہ چاہتے ہیں۔,امریکا اور سعودی عرب کا ممکنہ سیکیورٹی معاہدہ پر تبادلہ خیال ہوا۔ امریکی میڈیا کے مطابق ممکنہ سیکیورٹی معاہدے میں اسرائیل شامل نہیں ہوگا۔ امریکا سعودی عرب ممکنہ سیکیورٹی معاہدہ دفاعی معاہدہ نہیں۔ بائیڈن کے دور میں ہی سعودی عرب اور امریکا سیکیورٹی معاہدہ چاہتے ہیں۔
71,40-60_17_04_base_18_Alvi Nastaleeq.jpg,40-60,17,4,18,Alvi Nastaleeq,0,0,امریکا اور سعودی عرب کا ممکنہ سیکیورٹی معاہدے پر تبادلہ خیال ہوا۔ امریکی میڈیا کے مطابق ممکنہ سیکیورٹی معاہدے میں اسرائیل شامل نہیں ہوگا۔ امریکا سعودی عرب ممکنہ سیکیورٹی معاہدہ دفاعی معاہدہ نہیں۔ بائیڈن کے دور میں ہی سعودی عرب اور امریکا سیکیورٹی معاہدہ چاہتے ہیں۔,امریکا اور سعودی عرب کا ممکنہ سیکیورٹی معاہدہ پر تبادلہ خیال ہوا۔ امریکی میڈیا کے مطابق ممکنہ سیکیورٹی معاہدے میں اسرائیل شامل نہیں ہوگا۔ امریکا سعودی عرب ممکنہ سیکیورٹی معاہدہ دفاعی معاہدہ نہیں۔ بائیڈن کے دور میں ہی سعودی سیکیورٹی معاہدہ چاہتے ہیں۔
72,40-60_17_05_base_18_Nafees Nastaleeq.jpg,40-60,17,5,18,Nafees Nastaleeq,0,0,امریکا اور سعودی عرب کا ممکنہ سیکیورٹی معاہدے پر تبادلہ خیال ہوا۔ امریکی میڈیا کے مطابق ممکنہ سیکیورٹی معاہدے میں اسرائیل شامل نہیں ہوگا۔ امریکا سعودی عرب ممکنہ سیکیورٹی معاہدہ دفاعی معاہدہ نہیں۔ بائیڈن کے دور میں ہی سعودی عرب اور امریکا سیکیورٹی معاہدہ چاہتے ہیں۔,امریکا اور سعودی عرب کا ممکنہ سیکیورٹی معاہدہ پر تبادلہ خیال ہوا۔ امریکی میڈیا کے مطابق ممکنہ سیکیورٹی معاہدہ میں اسرائیل شامل نہیں ہوگا۔ امریکا سعودی عرب ممکنہ دفاعی معاہدہ نہیں۔ بائیڈن کے دور میں سعودی عرب اور امریکا سیکیورٹی معاہدہ چاہتے ہیں۔
73,40-60_18_01_base_12_Jameel Noori Nastaleeq.jpg,40-60,18,1,12,Jameel Noori Nastaleeq,0,0,کراچی ایئرپورٹ پر شارجہ سے آنے والی پرواز کے مسافر میں منکی پاکس کی علامات پائی گئی ہیں۔ ذرائع کے مطابق مسافر کو انفیکشن ڈیزیز اسپتال کے آئیسولیشن وارڈ بھیجا گیا۔ مسافر کا تعلق پنجاب کے علاقے راجن پور سے ہے۔ ایئرپورٹ ذرائع کے مطابق طیارے کو کراچی ایئرپورٹ پر مکمل ڈس انفیکٹ کیا گیا۔,کراچی ایئرپورٹ پر شارجہ سے آنے والی پرواز کے مسافر میں منکی پاکس کی علامات پائی گئی ہیں۔ ذرائع کے مطابق مسافر کو انسٹیٹیوٹ آف پبلک ہیلتھ کے آئسولیشن وارڈ بھیجا گیا۔ مسافر کا تعلق پنجاب کے علاقے راجن پور سے ہے۔ ایئرپورٹ ذرائع کے مطابق بیماری کے حوالے سے کراچی ایئرپورٹ پر ہیلتھ ڈیسک قائم کیا گیا۔
